split,image_name,label_name,objects,median_h_norm,priority_for_manual_review,bootstrap_base_invisible
train,000206_000252_5UHRvqx1iuQ_5_5UHRvqx1iuQ_5_00000_png.rf.4600aa38b3c53e9c8557473205792bda_68467c38.jpg,000206_000252_5UHRvqx1iuQ_5_5UHRvqx1iuQ_5_00000_png.rf.4600aa38b3c53e9c8557473205792bda_68467c38.txt,2,0.131482,True,False
train,000217_000263_GS__MO-GS-R3__frame_0118_jpg.rf.da024e386a77dbcede00adce5395d65e_202bde1f_202bde1f.jpg,000217_000263_GS__MO-GS-R3__frame_0118_jpg.rf.da024e386a77dbcede00adce5395d65e_202bde1f_202bde1f.txt,16,0.136328,True,False
train,000237_000283_GS__MS-GS-R__frame_0102_jpg.rf.1467238bb076da33ad3e99b3dc44ae0d_b0451c0a_b0451c0a.jpg,000237_000283_GS__MS-GS-R__frame_0102_jpg.rf.1467238bb076da33ad3e99b3dc44ae0d_b0451c0a_b0451c0a.txt,8,0.111328,True,False
train,000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.jpg,000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.txt,2,0.076389,True,False
train,000251_000297_SL__MS-SL-R__frame_0043_jpg.rf.5c8ad6e7ed8f59093fa9be9cb8e3ef94_645e56f2_645e56f2.jpg,000251_000297_SL__MS-SL-R__frame_0043_jpg.rf.5c8ad6e7ed8f59093fa9be9cb8e3ef94_645e56f2_645e56f2.txt,11,0.134375,True,False
train,000295_000341_he3w2n9WvrI_17_he3w2n9WvrI_17_00008_png.rf.e6b9d7075812d4dbad1b4ad4b510f4_42a388d8.jpg,000295_000341_he3w2n9WvrI_17_he3w2n9WvrI_17_00008_png.rf.e6b9d7075812d4dbad1b4ad4b510f4_42a388d8.txt,4,0.138426,True,False
train,000422_smallgate_2907_1765738705_Video_in_Original_Quality__00344_e8433700.jpg,000422_smallgate_2907_1765738705_Video_in_Original_Quality__00344_e8433700.txt,16,0.149203,True,False
train,000423_smallgate_2907_1765738705_Video_in_Original_Quality__00364_0406e7a8.jpg,000423_smallgate_2907_1765738705_Video_in_Original_Quality__00364_0406e7a8.txt,20,0.12807,True,False
train,000424_smallgate_2907_1765738705_Video_in_Original_Quality__00384_26cf05aa.jpg,000424_smallgate_2907_1765738705_Video_in_Original_Quality__00384_26cf05aa.txt,25,0.093619,True,False
train,000425_smallgate_2907_1765738705_Video_in_Original_Quality__00404_dfbcc9fc.jpg,000425_smallgate_2907_1765738705_Video_in_Original_Quality__00404_dfbcc9fc.txt,21,0.076668,True,False
train,000426_smallgate_2907_1765738705_Video_in_Original_Quality__00424_868a1021.jpg,000426_smallgate_2907_1765738705_Video_in_Original_Quality__00424_868a1021.txt,14,0.082419,True,False
train,000427_smallgate_2907_1765738705_Video_in_Original_Quality__00444_fdb6a317.jpg,000427_smallgate_2907_1765738705_Video_in_Original_Quality__00444_fdb6a317.txt,14,0.06728,True,False
train,000428_smallgate_2907_1765738705_Video_in_Original_Quality__00464_eab12d69.jpg,000428_smallgate_2907_1765738705_Video_in_Original_Quality__00464_eab12d69.txt,9,0.068982,True,False
train,000429_smallgate_2907_1765738705_Video_in_Original_Quality__00484_34841d90.jpg,000429_smallgate_2907_1765738705_Video_in_Original_Quality__00484_34841d90.txt,6,0.104375,True,False
train,000431_smallgate_2907_1765738705_Video_in_Original_Quality__00528_1cee3335.jpg,000431_smallgate_2907_1765738705_Video_in_Original_Quality__00528_1cee3335.txt,3,0.112054,True,False
valid,000321_000122_v8_div_balv2_0007__GS__MO_GS_R3-mov__t31-58_jpg.rf.bb5b342a4ec95da94a4276_a6ba720b.jpg,000321_000122_v8_div_balv2_0007__GS__MO_GS_R3-mov__t31-58_jpg.rf.bb5b342a4ec95da94a4276_a6ba720b.txt,4,0.066438,True,False
valid,000334_000135_v8_div_balv2_0075__GS__MO_GS_R-mov__t34-01_jpg.rf.3f6ef14e9fba05c4e041728_58906b84.jpg,000334_000135_v8_div_balv2_0075__GS__MO_GS_R-mov__t34-01_jpg.rf.3f6ef14e9fba05c4e041728_58906b84.txt,4,0.14694,True,False
valid,000351_000152_v8_div_balv2_0258__Videos__oKQFABiOTw8__3-mp4__t11-10_jpg.rf.1c00ec37cdcd_518fd84f.jpg,000351_000152_v8_div_balv2_0258__Videos__oKQFABiOTw8__3-mp4__t11-10_jpg.rf.1c00ec37cdcd_518fd84f.txt,2,0.130926,True,False
valid,000363_000227_unseen_2911_SL_frame0496_jpg.rf.2c061340e2651c78a673e9eeb31a1a2b_59979986_59979986.jpg,000363_000227_unseen_2911_SL_frame0496_jpg.rf.2c061340e2651c78a673e9eeb31a1a2b_59979986_59979986.txt,8,0.097646,True,False
valid,000364_000228_unseen_2911_SL_frame0589_jpg.rf.4d60391fd1f17051e0d8b00c08a4024f_0bd95575_0bd95575.jpg,000364_000228_unseen_2911_SL_frame0589_jpg.rf.4d60391fd1f17051e0d8b00c08a4024f_0bd95575_0bd95575.txt,10,0.144115,True,False
valid,000369_000369_5UHRvqx1iuQ_3_5UHRvqx1iuQ_3_00028_png.rf.1e90ab7acf0fe7544b1f5486c3552a2b_884e822d.jpg,000369_000369_5UHRvqx1iuQ_3_5UHRvqx1iuQ_3_00028_png.rf.1e90ab7acf0fe7544b1f5486c3552a2b_884e822d.txt,4,0.130092,True,False
valid,000375_000375_GS__Lucas-GS-T2__frame_0018_jpg.rf.d8af39a3ef74366a604bacab730ca3dd_d5145_d51456bd.jpg,000375_000375_GS__Lucas-GS-T2__frame_0018_jpg.rf.d8af39a3ef74366a604bacab730ca3dd_d5145_d51456bd.txt,8,0.118359,True,False
valid,000401_000401_oKQFABiOTw8_10_oKQFABiOTw8_10_00001_png.rf.171a31e3d796b345d80c3ef3fcee83_83b71f0c.jpg,000401_000401_oKQFABiOTw8_10_oKQFABiOTw8_10_00001_png.rf.171a31e3d796b345d80c3ef3fcee83_83b71f0c.txt,14,0.14213,True,False
test,000001_000001_v8_div_balv2_0036__GS__MO_GS_T-mov__t35-89_jpg.rf.6c6008a2ad752d10b7108de_2e9ec8cb.jpg,000001_000001_v8_div_balv2_0036__GS__MO_GS_T-mov__t35-89_jpg.rf.6c6008a2ad752d10b7108de_2e9ec8cb.txt,0,0.0,False,False
test,000002_000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fa_24c378a9.jpg,000002_000002_v8_div_balv2_0061__GS__MO_GS_R-mov__t14-54_jpg.rf.77801c9b5f95302538cf2fa_24c378a9.txt,1,0.407211,False,False
test,000004_000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6_71303f1f.jpg,000004_000004_v8_div_balv2_0109__SL__MS_SL-mov__t14-37_jpg.rf.a853f63f8d46bc05142e571a6_71303f1f.txt,1,0.597081,False,False
test,000005_000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-4_f880cb01.jpg,000005_000005_v8_div_balv2_0123__SL__Screen_Recording_2026-02-07_at_14-59-25-mov__t22-4_f880cb01.txt,1,0.62161,False,False
test,000006_000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4_4111112f.jpg,000006_000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4_4111112f.txt,1,0.290123,False,False
test,000009_000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce_31b69943.jpg,000009_000009_v8_div_balv2_0173__Videos__uLW74013Wp0__20-mp4__t4-85_jpg.rf.1e7f469df3ce_31b69943.txt,3,0.340881,False,False
test,000010_000010_v8_div_balv2_0179__Videos__qxfgw1Kd98A__5-mp4__t0-37_jpg.rf.e8940e9772e9d_e69e221f.jpg,000010_000010_v8_div_balv2_0179__Videos__qxfgw1Kd98A__5-mp4__t0-37_jpg.rf.e8940e9772e9d_e69e221f.txt,0,0.0,False,False
test,000011_000011_v8_div_balv2_0201__Videos__SVYdH614G_M__0-mp4__t1-30_jpg.rf.5b8145b0cd5b9_62b8ad90.jpg,000011_000011_v8_div_balv2_0201__Videos__SVYdH614G_M__0-mp4__t1-30_jpg.rf.5b8145b0cd5b9_62b8ad90.txt,0,0.0,False,False
test,000012_000012_v8_div_balv2_0257__Videos__SVYdH614G_M__0-mp4__t1-90_jpg.rf.1a48911b603e6_0645083a.jpg,000012_000012_v8_div_balv2_0257__Videos__SVYdH614G_M__0-mp4__t1-90_jpg.rf.1a48911b603e6_0645083a.txt,0,0.0,False,False
test,000013_000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c8_7c5569a8.jpg,000013_000013_v8_div_balv2_0261__Videos__uLW74013Wp0__16-mp4__t1-32_jpg.rf.920d3107f6c8_7c5569a8.txt,2,0.705932,False,False
test,000017_000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80_710c4a80.jpg,000017_000155_unseen_2907_SL_frame0264_jpg.rf.1530a7a046ea61b72bcbaffa330a497e_710c4a80_710c4a80.txt,10,0.277896,False,False
test,000020_000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd_e597d0cd.jpg,000020_000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd_e597d0cd.txt,5,0.337917,False,False
test,000023_000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.jpg,000023_000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.txt,2,0.182408,False,False
test,000024_000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1_8289c1e1.jpg,000024_000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1_8289c1e1.txt,4,0.409766,False,False
test,000025_000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42_faf2af42.jpg,000025_000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42_faf2af42.txt,2,0.492188,False,False
test,000028_000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c8945_755b2e47.jpg,000028_000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c8945_755b2e47.txt,3,0.241667,False,False
test,000029_000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e_1063976e.jpg,000029_000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e_1063976e.txt,3,0.409375,False,False
test,000030_000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b_46addf7b.jpg,000030_000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b_46addf7b.txt,3,0.275,False,False
test,000033_000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993_2e3b9379.jpg,000033_000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993_2e3b9379.txt,2,0.669908,False,False
test,000034_000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d_6adefa7a.jpg,000034_000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d_6adefa7a.txt,4,0.5875,False,False
test,000035_000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.jpg,000035_000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.txt,2,0.269907,False,False
test,000036_000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b5_0daa4ca9.jpg,000036_000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b5_0daa4ca9.txt,1,0.294444,False,False
test,000037_000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647_fc3cafca.jpg,000037_000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647_fc3cafca.txt,4,0.581481,False,False
train,000040_000016_v8_div_balv2_0003__GS__MO_GS_R3-mov__t6-24_jpg.rf.95b2f51bf934affc768a979_af23a567.jpg,000040_000016_v8_div_balv2_0003__GS__MO_GS_R3-mov__t6-24_jpg.rf.95b2f51bf934affc768a979_af23a567.txt,0,0.0,False,False
train,000041_000017_v8_div_balv2_0005__GS__MO_GS_R3-mov__t27-36_jpg.rf.2dbf97958a5db1a810c163_878e491b.jpg,000041_000017_v8_div_balv2_0005__GS__MO_GS_R3-mov__t27-36_jpg.rf.2dbf97958a5db1a810c163_878e491b.txt,0,0.0,False,False
train,000043_000019_v8_div_balv2_0009__GS__MO_GS_R3-mov__t23-13_jpg.rf.606878632ed2dfb85dcf6c_062a7a59.jpg,000043_000019_v8_div_balv2_0009__GS__MO_GS_R3-mov__t23-13_jpg.rf.606878632ed2dfb85dcf6c_062a7a59.txt,0,0.0,False,False
train,000044_000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253_a8efe6cb.jpg,000044_000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253_a8efe6cb.txt,2,0.479006,False,False
train,000045_000021_v8_div_balv2_0014__GS__MO_GS_R4-mov__t20-49_jpg.rf.9b96059e1517fcf797126f_3cdd1a7d.jpg,000045_000021_v8_div_balv2_0014__GS__MO_GS_R4-mov__t20-49_jpg.rf.9b96059e1517fcf797126f_3cdd1a7d.txt,0,0.0,False,False
train,000046_000022_v8_div_balv2_0017__GS__MO_GS_R4-mov__t15-92_jpg.rf.1b5ff7d089a51768b9e3c0_4b8ddb76.jpg,000046_000022_v8_div_balv2_0017__GS__MO_GS_R4-mov__t15-92_jpg.rf.1b5ff7d089a51768b9e3c0_4b8ddb76.txt,0,0.0,False,False
train,000047_000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87b_e1646a33.jpg,000047_000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87b_e1646a33.txt,2,0.165599,False,False
train,000048_000024_v8_div_balv2_0020__GS__MO_GS_R4-mov__t2-19_jpg.rf.8e62c78382cde69934edf72_b1ee7853.jpg,000048_000024_v8_div_balv2_0020__GS__MO_GS_R4-mov__t2-19_jpg.rf.8e62c78382cde69934edf72_b1ee7853.txt,0,0.0,False,False
train,000049_000025_v8_div_balv2_0023__GS__MS_GS_R-mov__t71-93_jpg.rf.1f056b1a94a7c79a876c2a3_8c731dc8.jpg,000049_000025_v8_div_balv2_0023__GS__MS_GS_R-mov__t71-93_jpg.rf.1f056b1a94a7c79a876c2a3_8c731dc8.txt,0,0.0,False,False
train,000050_000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370e_a6e0414b.jpg,000050_000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370e_a6e0414b.txt,6,0.272837,False,False
train,000051_000027_v8_div_balv2_0027__GS__MS_GS_R2-mov__t49-48_jpg.rf.04729b7b663e236b2f54cf_bff59e79.jpg,000051_000027_v8_div_balv2_0027__GS__MS_GS_R2-mov__t49-48_jpg.rf.04729b7b663e236b2f54cf_bff59e79.txt,2,0.190021,False,False
train,000053_000029_v8_div_balv2_0037__GS__MS_GS_R-mov__t34-76_jpg.rf.f2155d0643278af4e8fa9a5_b348dce4.jpg,000053_000029_v8_div_balv2_0037__GS__MS_GS_R-mov__t34-76_jpg.rf.f2155d0643278af4e8fa9a5_b348dce4.txt,6,0.162094,False,False
train,000054_000030_v8_div_balv2_0041__GS__Lucas_GS_T2-mov__t38-99_jpg.rf.d9453074b0aeb204d86_4094cfc6.jpg,000054_000030_v8_div_balv2_0041__GS__Lucas_GS_T2-mov__t38-99_jpg.rf.d9453074b0aeb204d86_4094cfc6.txt,2,0.318923,False,False
train,000055_000031_v8_div_balv2_0043__GS__MS_GS_R-mov__t25-46_jpg.rf.c550974332d460adb27ca66_e68f4a69.jpg,000055_000031_v8_div_balv2_0043__GS__MS_GS_R-mov__t25-46_jpg.rf.c550974332d460adb27ca66_e68f4a69.txt,1,0.436327,False,False
train,000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.jpg,000056_000032_v8_div_balv2_0047__GS__Lucas_GS_T2-mov__t34-82_jpg.rf.c8d7288033046b7885a_00cb2e3d.txt,2,0.194038,False,False
train,000058_000034_v8_div_balv2_0050__GS__MS_GS_R-mov__t48-70_jpg.rf.48e6930cbbaacf4827024db_f8c361fc.jpg,000058_000034_v8_div_balv2_0050__GS__MS_GS_R-mov__t48-70_jpg.rf.48e6930cbbaacf4827024db_f8c361fc.txt,6,0.254352,False,False
train,000060_000036_v8_div_balv2_0054__GS__Mikaela_Shifferin_GS_racing-mov__t18-53_jpg.rf.3a6_ec5c9a74.jpg,000060_000036_v8_div_balv2_0054__GS__Mikaela_Shifferin_GS_racing-mov__t18-53_jpg.rf.3a6_ec5c9a74.txt,1,0.416801,False,False
train,000062_000038_v8_div_balv2_0060__GS__Mikaela_Shifferin_GS_racing-mov__t10-25_jpg.rf.31d_b56657f3.jpg,000062_000038_v8_div_balv2_0060__GS__Mikaela_Shifferin_GS_racing-mov__t10-25_jpg.rf.31d_b56657f3.txt,2,0.294053,False,False
train,000063_000039_v8_div_balv2_0062__GS__Lucas_GS_T-mov__t2-34_jpg.rf.5cabd0d37b95ccbc546e4_b39d5ba9.jpg,000063_000039_v8_div_balv2_0062__GS__Lucas_GS_T-mov__t2-34_jpg.rf.5cabd0d37b95ccbc546e4_b39d5ba9.txt,6,0.178146,False,False
train,000064_000040_v8_div_balv2_0064__GS__Lucas_GS_T-mov__t7-54_jpg.rf.1ccca4844c7a9fd262219_c9e42939.jpg,000064_000040_v8_div_balv2_0064__GS__Lucas_GS_T-mov__t7-54_jpg.rf.1ccca4844c7a9fd262219_c9e42939.txt,8,0.241388,False,False
train,000066_000042_v8_div_balv2_0067__GS__MO_GS_R-mov__t21-03_jpg.rf.7aeaee3b6eccf5687b2b352_da6b4bd6.jpg,000066_000042_v8_div_balv2_0067__GS__MO_GS_R-mov__t21-03_jpg.rf.7aeaee3b6eccf5687b2b352_da6b4bd6.txt,2,0.223014,False,False
train,000067_000043_v8_div_balv2_0070__GS__MO_GS_R-mov__t24-27_jpg.rf.b48ae88f41e8a2974bbf739_eed80869.jpg,000067_000043_v8_div_balv2_0070__GS__MO_GS_R-mov__t24-27_jpg.rf.b48ae88f41e8a2974bbf739_eed80869.txt,2,0.252181,False,False
