sha1,source_image,source_label,dest_image,dest_label,box_count
09e924b75e02b1d7863fb7dbf9df27ecd8b794d9,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000082_000058_v8_div_balv2_0111__SL__MS_SL-mov__t11-69_jpg.rf.5d30bd2341660e10c92ea85c0_09e924b7.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000082_000058_v8_div_balv2_0111__SL__MS_SL-mov__t11-69_jpg.rf.5d30bd2341660e10c92ea85c0_09e924b7.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000082_000058_v8_div_balv2_0111__SL__MS_SL-mov__t11-69_jpg.rf.5d30bd2341660e10c92ea85c0_09e924b7.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000082_000058_v8_div_balv2_0111__SL__MS_SL-mov__t11-69_jpg.rf.5d30bd2341660e10c92ea85c0_09e924b7.txt,1
0aa2a1234c436710a8cf4bf13da3c4a38d3c6d4c,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000232_000278_GS__MO-GS-T3__frame_0092_jpg.rf.864e63635bbba641054259a743630719_0aa2a123_0aa2a123.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000232_000278_GS__MO-GS-T3__frame_0092_jpg.rf.864e63635bbba641054259a743630719_0aa2a123_0aa2a123.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000232_000278_GS__MO-GS-T3__frame_0092_jpg.rf.864e63635bbba641054259a743630719_0aa2a123_0aa2a123.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000232_000278_GS__MO-GS-T3__frame_0092_jpg.rf.864e63635bbba641054259a743630719_0aa2a123_0aa2a123.txt,2
0bdf84e99f8a08f7d59a4c93f3a7c8f786a36ada,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000289_000335_SL__Mikaela-Shifferin-Slolom2__frame_0053_jpg.rf.a880d454e81252200e6fd9f3_0bdf84e9.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000289_000335_SL__Mikaela-Shifferin-Slolom2__frame_0053_jpg.rf.a880d454e81252200e6fd9f3_0bdf84e9.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000289_000335_SL__Mikaela-Shifferin-Slolom2__frame_0053_jpg.rf.a880d454e81252200e6fd9f3_0bdf84e9.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000289_000335_SL__Mikaela-Shifferin-Slolom2__frame_0053_jpg.rf.a880d454e81252200e6fd9f3_0bdf84e9.txt,3
0c154cfd8e543d6e323bfe6a5f42cf23cb3d7e3d,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000188_000203_unseen_2911_SL_frame0217_jpg.rf.0b231826d5f3c52fd087113b791b8ee1_0c154cfd_0c154cfd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000188_000203_unseen_2911_SL_frame0217_jpg.rf.0b231826d5f3c52fd087113b791b8ee1_0c154cfd_0c154cfd.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000188_000203_unseen_2911_SL_frame0217_jpg.rf.0b231826d5f3c52fd087113b791b8ee1_0c154cfd_0c154cfd.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000188_000203_unseen_2911_SL_frame0217_jpg.rf.0b231826d5f3c52fd087113b791b8ee1_0c154cfd_0c154cfd.txt,18
0ef68af2dcebc68fabd0c1e52de7f8a416536711,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000266_000312_SL__Mikaela-Shifferin-Slolom-training__frame_0001_jpg.rf.c0e26011a843d02a_0ef68af2.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000266_000312_SL__Mikaela-Shifferin-Slolom-training__frame_0001_jpg.rf.c0e26011a843d02a_0ef68af2.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000266_000312_SL__Mikaela-Shifferin-Slolom-training__frame_0001_jpg.rf.c0e26011a843d02a_0ef68af2.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000266_000312_SL__Mikaela-Shifferin-Slolom-training__frame_0001_jpg.rf.c0e26011a843d02a_0ef68af2.txt,3
0f1705589e957c47e7cf85cc1f94f17e31e45197,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000303_000349_oKQFABiOTw8_29_oKQFABiOTw8_29_00024_png.rf.c41197f3439292bca60eee9b3f7e98_0f170558.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000303_000349_oKQFABiOTw8_29_oKQFABiOTw8_29_00024_png.rf.c41197f3439292bca60eee9b3f7e98_0f170558.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000303_000349_oKQFABiOTw8_29_oKQFABiOTw8_29_00024_png.rf.c41197f3439292bca60eee9b3f7e98_0f170558.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000303_000349_oKQFABiOTw8_29_oKQFABiOTw8_29_00024_png.rf.c41197f3439292bca60eee9b3f7e98_0f170558.txt,3
1135eea1c369791e5bed38b28988eb6e84524b04,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000179_000194_unseen_2909_SL_frame0684_jpg.rf.af4e13884ceead93f309061c4c749827_1135eea1_1135eea1.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000179_000194_unseen_2909_SL_frame0684_jpg.rf.af4e13884ceead93f309061c4c749827_1135eea1_1135eea1.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000179_000194_unseen_2909_SL_frame0684_jpg.rf.af4e13884ceead93f309061c4c749827_1135eea1_1135eea1.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000179_000194_unseen_2909_SL_frame0684_jpg.rf.af4e13884ceead93f309061c4c749827_1135eea1_1135eea1.txt,1
116541429c2fb586f20264e78d9ddb626a875563,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000078_000054_v8_div_balv2_0094__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t59-4_11654142.txt,4
1334e74273536bf201738badeebffd3dfd295fc9,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000163_000178_unseen_2909_SL_frame0072_jpg.rf.0fc4a926332070e4582757e527efd162_1334e742_1334e742.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000163_000178_unseen_2909_SL_frame0072_jpg.rf.0fc4a926332070e4582757e527efd162_1334e742_1334e742.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000163_000178_unseen_2909_SL_frame0072_jpg.rf.0fc4a926332070e4582757e527efd162_1334e742_1334e742.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000163_000178_unseen_2909_SL_frame0072_jpg.rf.0fc4a926332070e4582757e527efd162_1334e742_1334e742.txt,23
166355e936325f3326be662f35237d4852a0b8fc,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000263_000309_SL__MS-SL__frame_0056_jpg.rf.11a4b36b7194535878a1fba6f4788ced_166355e9_166355e9.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000263_000309_SL__MS-SL__frame_0056_jpg.rf.11a4b36b7194535878a1fba6f4788ced_166355e9_166355e9.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000263_000309_SL__MS-SL__frame_0056_jpg.rf.11a4b36b7194535878a1fba6f4788ced_166355e9_166355e9.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000263_000309_SL__MS-SL__frame_0056_jpg.rf.11a4b36b7194535878a1fba6f4788ced_166355e9_166355e9.txt,2
16de166275ea81a7ffc8656d4a25a0ef96a66a93,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000259_000305_SL__MS-SL__frame_0028_jpg.rf.3614afcc583e49a5e554c6030a31a757_16de1662_16de1662.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000259_000305_SL__MS-SL__frame_0028_jpg.rf.3614afcc583e49a5e554c6030a31a757_16de1662_16de1662.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000259_000305_SL__MS-SL__frame_0028_jpg.rf.3614afcc583e49a5e554c6030a31a757_16de1662_16de1662.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000259_000305_SL__MS-SL__frame_0028_jpg.rf.3614afcc583e49a5e554c6030a31a757_16de1662_16de1662.txt,2
16e186daff8b60ac73c1c62caba3ec433d1770f9,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000254_000300_SL__MS-SL-R__frame_0065_jpg.rf.05c4d8ea8a856ce9478627eb437815bc_16e186da_16e186da.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000254_000300_SL__MS-SL-R__frame_0065_jpg.rf.05c4d8ea8a856ce9478627eb437815bc_16e186da_16e186da.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000254_000300_SL__MS-SL-R__frame_0065_jpg.rf.05c4d8ea8a856ce9478627eb437815bc_16e186da_16e186da.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000254_000300_SL__MS-SL-R__frame_0065_jpg.rf.05c4d8ea8a856ce9478627eb437815bc_16e186da_16e186da.txt,2
17137b8e8fd6787436089c098785a80898d3440c,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000072_000048_v8_div_balv2_0078__GS__MO_GS_R-mov__t37-26_jpg.rf.7eb0ab9fc6f18b0c728b427_17137b8e.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000072_000048_v8_div_balv2_0078__GS__MO_GS_R-mov__t37-26_jpg.rf.7eb0ab9fc6f18b0c728b427_17137b8e.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000072_000048_v8_div_balv2_0078__GS__MO_GS_R-mov__t37-26_jpg.rf.7eb0ab9fc6f18b0c728b427_17137b8e.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000072_000048_v8_div_balv2_0078__GS__MO_GS_R-mov__t37-26_jpg.rf.7eb0ab9fc6f18b0c728b427_17137b8e.txt,3
19c194eaf2306a967b903751c012029e488d32bf,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000287_000333_SL__Mikaela-Shifferin-Slolom2__frame_0049_jpg.rf.07bf93867a15c9508583a62a_19c194ea.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000287_000333_SL__Mikaela-Shifferin-Slolom2__frame_0049_jpg.rf.07bf93867a15c9508583a62a_19c194ea.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000287_000333_SL__Mikaela-Shifferin-Slolom2__frame_0049_jpg.rf.07bf93867a15c9508583a62a_19c194ea.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000287_000333_SL__Mikaela-Shifferin-Slolom2__frame_0049_jpg.rf.07bf93867a15c9508583a62a_19c194ea.txt,2
1a73fde64a766d72df476cf6f64eee026890fe00,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000079_000055_v8_div_balv2_0099__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t36-3_1a73fde6.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000079_000055_v8_div_balv2_0099__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t36-3_1a73fde6.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000079_000055_v8_div_balv2_0099__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t36-3_1a73fde6.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000079_000055_v8_div_balv2_0099__SL__Screen_Recording_2026-02-07_at_15-02-11-mov__t36-3_1a73fde6.txt,8
1ae71d3786fb934d308263d468464c494a97e7d2,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000106_000082_v8_div_balv2_0172__Videos__he3w2n9WvrI__10-mp4__t4-82_jpg.rf.a7dd8c9dbaa4_1ae71d37.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000106_000082_v8_div_balv2_0172__Videos__he3w2n9WvrI__10-mp4__t4-82_jpg.rf.a7dd8c9dbaa4_1ae71d37.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000106_000082_v8_div_balv2_0172__Videos__he3w2n9WvrI__10-mp4__t4-82_jpg.rf.a7dd8c9dbaa4_1ae71d37.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000106_000082_v8_div_balv2_0172__Videos__he3w2n9WvrI__10-mp4__t4-82_jpg.rf.a7dd8c9dbaa4_1ae71d37.txt,2
1b35f9267586ef265016bba08a26bf1f9269a62a,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000243_000289_LjXeTB3Wl10_0_LjXeTB3Wl10_0_00021_png.rf.2ba0e62121f74d15fe546bc0fddd020f_1b35f926.txt,2
1bfecf7ee719d3cb49941760f38e1f0400122a23,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/images/000220_000266_GS__MO-GS-R4__frame_0044_jpg.rf.73270af7f184c8e783538d04e8a4a65a_1bfecf7e_1bfecf7e.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260215/train/labels/000220_000266_GS__MO-GS-R4__frame_0044_jpg.rf.73270af7f184c8e783538d04e8a4a65a_1bfecf7e_1bfecf7e.txt,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/images/000220_000266_GS__MO-GS-R4__frame_0044_jpg.rf.73270af7f184c8e783538d04e8a4a65a_1bfecf7e_1bfecf7e.jpg,/Users/quan/Documents/personal/Stanford application project/data/datasets/final_combined_1class_20260213_recovered_pos252/train/labels/000220_000266_GS__MO-GS-R4__frame_0044_jpg.rf.73270af7f184c8e783538d04e8a4a65a_1bfecf7e_1bfecf7e.txt,2
