source_root,source_split,source_image,source_label,target_split,target_image,target_label,sha1,box_count
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd.jpg,data/annotations/final_combined_1class_20260213/test/labels/000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000013_000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd_e597d0cd.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000013_000158_unseen_2909_SL_frame0720_jpg.rf.bca4dace6db618412c880e8ec99977a6_e597d0cd_e597d0cd.txt,e597d0cdd8238b05805e2e2484e41eeafa00c2e9,5
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.jpg,data/annotations/final_combined_1class_20260213/test/labels/000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000014_000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000014_000231_5UHRvqx1iuQ_9_5UHRvqx1iuQ_9_00000_png.rf.ce6891f2852b6b94ba9b11e581826841_a3620e69.txt,a3620e69734a3c9584ed9d940f50b42acbb5c412,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1.jpg,data/annotations/final_combined_1class_20260213/test/labels/000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000015_000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1_8289c1e1.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000015_000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1_8289c1e1.txt,8289c1e1c6b8baf3def82af08e31834a7101921c,4
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42.jpg,data/annotations/final_combined_1class_20260213/test/labels/000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000016_000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42_faf2af42.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000016_000233_GS__MO-GS-R4__frame_0081_jpg.rf.40159fa509da65e3741a25bfefa1a8a0_faf2af42_faf2af42.txt,faf2af423156663b050c18b72ec64ea4964ff812,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000235_GS__MO-GS-T3__frame_0063_jpg.rf.398630678aa39ef4761ce2b5cf5787ff_0212c83f.jpg,data/annotations/final_combined_1class_20260213/test/labels/000235_GS__MO-GS-T3__frame_0063_jpg.rf.398630678aa39ef4761ce2b5cf5787ff_0212c83f.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000017_000235_GS__MO-GS-T3__frame_0063_jpg.rf.398630678aa39ef4761ce2b5cf5787ff_0212c83f_0212c83f.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000017_000235_GS__MO-GS-T3__frame_0063_jpg.rf.398630678aa39ef4761ce2b5cf5787ff_0212c83f_0212c83f.txt,0212c83f310647a81c66a93725d4e3ac12432de8,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c894536_755b2e47.jpg,data/annotations/final_combined_1class_20260213/test/labels/000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c894536_755b2e47.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000018_000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c8945_755b2e47.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000018_000236_NrWcP1s3QC0_14_NrWcP1s3QC0_14_00000_png.rf.cbbb944ab4eb6dde92dc5e712c8945_755b2e47.txt,755b2e4729b775e4c50710f94ee7cae60df49fdb,3
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e.jpg,data/annotations/final_combined_1class_20260213/test/labels/000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000019_000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e_1063976e.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000019_000237_SL__MS-SL__frame_0029_jpg.rf.c8fdc7e452086acd2f83f11d5ed1a4cc_1063976e_1063976e.txt,1063976e53c01f9fc20ce5e52e1ae5e2f9e9d1bc,3
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b.jpg,data/annotations/final_combined_1class_20260213/test/labels/000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000020_000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b_46addf7b.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000020_000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b_46addf7b.txt,46addf7bba0577d75259b226ab19f36b402305f0,3
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993f6_2e3b9379.jpg,data/annotations/final_combined_1class_20260213/test/labels/000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993f6_2e3b9379.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000021_000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993_2e3b9379.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000021_000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993_2e3b9379.txt,2e3b937932b3c6a5ddff8bb2ed45cf8eeed45912,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d08_6adefa7a.jpg,data/annotations/final_combined_1class_20260213/test/labels/000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d08_6adefa7a.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000022_000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d_6adefa7a.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000022_000242_he3w2n9WvrI_11_he3w2n9WvrI_11_00006_png.rf.415426d9d0dc99a1806f442620818d_6adefa7a.txt,6adefa7a1862718e52dc89ebe48cd8810874cf10,4
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.jpg,data/annotations/final_combined_1class_20260213/test/labels/000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000023_000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000023_000243_he3w2n9WvrI_2_he3w2n9WvrI_2_00005_png.rf.ae7f3a762ca5120e1d092bead65c5a63_16344f35.txt,16344f353accb361732a9f2dd91fac4acdd26355,2
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b52d_0daa4ca9.jpg,data/annotations/final_combined_1class_20260213/test/labels/000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b52d_0daa4ca9.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000024_000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b5_0daa4ca9.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000024_000244_oKQFABiOTw8_25_oKQFABiOTw8_25_00003_png.rf.01dd3bd6d32c221e6d3afb6cdc64b5_0daa4ca9.txt,0daa4ca939298f2e75f6a48a0d890cc92c31916f,1
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647bb_fc3cafca.jpg,data/annotations/final_combined_1class_20260213/test/labels/000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647bb_fc3cafca.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000025_000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647_fc3cafca.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000025_000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647_fc3cafca.txt,fc3cafca8a8e64888bae6942e25943764d75b558,4
data/annotations/final_combined_1class_20260213,test,data/annotations/final_combined_1class_20260213/test/images/000246_uLW74013Wp0_4_uLW74013Wp0_4_00014_png.rf.5d362d2e166cb5aced04b6763611c3f3_40ccae57.jpg,data/annotations/final_combined_1class_20260213/test/labels/000246_uLW74013Wp0_4_uLW74013Wp0_4_00014_png.rf.5d362d2e166cb5aced04b6763611c3f3_40ccae57.txt,test,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/images/000026_000246_uLW74013Wp0_4_uLW74013Wp0_4_00014_png.rf.5d362d2e166cb5aced04b6763611c3f3_40ccae57.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/test/labels/000026_000246_uLW74013Wp0_4_uLW74013Wp0_4_00014_png.rf.5d362d2e166cb5aced04b6763611c3f3_40ccae57.txt,40ccae572ab02865dd5ee7fee678b72daa61b604,6
data/annotations/final_combined_1class_20260213,train,data/annotations/final_combined_1class_20260213/train/images/000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d390d2e89_ac734c13.jpg,data/annotations/final_combined_1class_20260213/train/labels/000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d390d2e89_ac734c13.txt,train,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/images/000027_000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d3_ac734c13.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/labels/000027_000015_v8_div_balv2_0001__GS__MO_GS_R3-mov__t65-36_jpg.rf.7aec51c7d2c0e0047229d3_ac734c13.txt,ac734c13f013f111c6af0a5ef127417c592e903b,2
data/annotations/final_combined_1class_20260213,train,data/annotations/final_combined_1class_20260213/train/images/000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe52834c88f8_7b9bdc27.jpg,data/annotations/final_combined_1class_20260213/train/labels/000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe52834c88f8_7b9bdc27.txt,train,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/images/000028_000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe528_7b9bdc27.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/labels/000028_000018_v8_div_balv2_0006__GS__MO_GS_R3-mov__t52-69_jpg.rf.b470ebb79439c1e28fe528_7b9bdc27.txt,7b9bdc27fea5565440318ee743bd22b6ad2b87b5,4
data/annotations/final_combined_1class_20260213,train,data/annotations/final_combined_1class_20260213/train/images/000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253d8fb3d6_a8efe6cb.jpg,data/annotations/final_combined_1class_20260213/train/labels/000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253d8fb3d6_a8efe6cb.txt,train,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/images/000029_000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253_a8efe6cb.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/labels/000029_000020_v8_div_balv2_0013__GS__MO_GS_R4-mov__t52-52_jpg.rf.fd101563a29edf72870253_a8efe6cb.txt,a8efe6cb03d3c3c0c6317278d9452e6027b75e08,2
data/annotations/final_combined_1class_20260213,train,data/annotations/final_combined_1class_20260213/train/images/000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87ba15e2e7_e1646a33.jpg,data/annotations/final_combined_1class_20260213/train/labels/000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87ba15e2e7_e1646a33.txt,train,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/images/000030_000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87b_e1646a33.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/labels/000030_000023_v8_div_balv2_0019__GS__MO_GS_R-mov__t46-99_jpg.rf.687d8d8d46ce9282eefd87b_e1646a33.txt,e1646a33b3a2061b9100840ec9da354367856b53,2
data/annotations/final_combined_1class_20260213,train,data/annotations/final_combined_1class_20260213/train/images/000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370eb521733_a6e0414b.jpg,data/annotations/final_combined_1class_20260213/train/labels/000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370eb521733_a6e0414b.txt,train,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/images/000031_000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370e_a6e0414b.jpg,tracks/B_model_retraining/artifacts/final_combined_1class_20260215_hardfix/train/labels/000031_000026_v8_div_balv2_0026__GS__Lucas_GS_T2-mov__t43-16_jpg.rf.c56bba46ec7f3aa370e_a6e0414b.txt,a6e0414b30e1f3d455cb5d6997be0adbe8893508,6
